SPNAME,longitude,latitude,Year,Present
ebt,-112.200789999999998,44.577700000000000,"2002",1.00
ebt,-113.000699999999995,45.215760000000003,"2003",1.00
ebt,-112.993440000000007,45.231659999999998,"2003",1.00
ebt,-113.167739999999995,47.128500000000003,"2003",1.00
ebt,-113.136669999999995,47.082599999999999,"2003",1.00
ebt,-114.223939999999999,46.742609999999999,"2003",1.00
ebt,-115.811279999999996,48.191369999999999,"2003",1.00
ebt,-114.343260000000001,47.954030000000003,"2003",1.00
ebt,-112.216290000000001,44.561509999999998,"2002",1.00
ebt,-115.493030000000005,47.854779999999998,"2003",1.00
ebt,-110.637950000000004,47.408079999999998,"2003",1.00
ebt,-115.530299999999997,47.840080000000000,"2003",1.00
ebt,-112.215680000000006,44.552990000000001,"2002",1.00
ebt,-115.471789999999999,47.856279999999998,"2003",1.00
ebt,-110.667339999999996,46.916580000000003,"2003",1.00
ebt,-115.251009999999994,48.033250000000002,"2003",1.00
ebt,-115.407550000000001,47.869039999999998,"2003",1.00
ebt,-113.026430000000005,46.996800000000000,"2003",1.00
ebt,-113.597300000000004,46.825940000000003,"2003",1.00
ebt,-114.552000000000007,46.737240000000000,"2003",1.00
ebt,-110.811549999999997,46.922269999999997,"2003",1.00
ebt,-114.616230000000002,46.676699999999997,"2003",1.00
ebt,-114.591560000000001,46.711160000000000,"2003",1.00
ebt,-115.653430000000000,48.493569999999998,"2003",1.00
ebt,-114.685659999999999,48.372959999999999,"2003",1.00
ebt,-113.481740000000002,45.567100000000003,"2003",1.00
ebt,-113.596270000000004,46.830069999999999,"2003",1.00
ebt,-111.961740000000006,46.395429999999998,"2003",1.00
ebt,-110.500929999999997,47.482489999999999,"2003",1.00
ebt,-113.158959999999993,47.011769999999999,"2003",1.00
ebt,-113.133529999999993,47.015309999999999,"2003",1.00
ebt,-113.075649999999996,47.014159999999997,"2003",1.00
ebt,-113.817189999999997,47.749899999999997,"2003",1.00
ebt,-115.294579999999996,48.544429999999998,"2003",1.00
ebt,-115.010559999999998,48.363619999999997,"2003",1.00
ebt,-112.037559999999999,46.298430000000003,"2003",1.00
ebt,-113.748859999999993,47.673220000000001,"2003",1.00
ebt,-113.403999999999996,45.133139999999997,"2002",1.00
ebt,-115.610290000000006,48.539650000000002,"2003",1.00
ebt,-114.466210000000004,46.766919999999999,"2003",1.00
ebt,-113.793729999999996,47.742170000000002,"2003",1.00
ebt,-114.457599999999999,46.754899999999999,"2003",1.00
ebt,-114.446070000000006,46.743119999999998,"2003",1.00
ebt,-113.117080000000001,45.882910000000003,"2003",1.00
ebt,-113.143439999999998,45.883879999999998,"2003",1.00
ebt,-114.487160000000003,46.743389999999998,"2003",1.00
ebt,-113.378119999999996,45.126730000000002,"2002",1.00
ebt,-113.406970000000001,46.920340000000003,"2003",1.00
ebt,-113.388099999999994,45.133380000000002,"2002",1.00
ebt,-113.231099999999998,46.996139999999997,"2003",1.00
ebt,-113.394459999999995,46.902079999999998,"2003",1.00
ebt,-113.457980000000006,45.617460000000001,"2003",1.00
ebt,-111.860370000000003,46.429099999999998,"2003",1.00
ebt,-113.203590000000005,45.884839999999997,"2003",1.00
ebt,-113.424359999999993,45.125129999999999,"2002",1.00
ebt,-113.312410000000000,47.137099999999997,"2003",1.00
ebt,-113.469700000000003,45.659050000000001,"2003",1.00
ebt,-113.444779999999994,45.636719999999997,"2003",1.00
ebt,-113.236890000000002,45.874339999999997,"2003",1.00
ebt,-113.526169999999993,45.701929999999997,"2003",1.00
ebt,-110.958820000000003,46.845759999999999,"2003",1.00
ebt,-113.417670000000001,45.124830000000003,"2002",1.00
ebt,-111.858540000000005,46.432699999999997,"2003",1.00
ebt,-110.564980000000006,47.423009999999998,"2003",1.00
ebt,-113.238879999999995,47.087240000000001,"2003",1.00
ebt,-113.487399999999994,45.151060000000001,"2002",1.00
ebt,-114.165570000000002,48.381500000000003,"2004",1.00
ebt,-112.147499999999994,45.151190000000000,"2004",1.00
ebt,-113.367189999999994,45.752070000000003,"2004",1.00
ebt,-109.294070000000005,45.223370000000003,"2004",1.00
ebt,-109.289749999999998,45.226920000000000,"2004",1.00
ebt,-112.291860000000000,44.744709999999998,"2004",1.00
ebt,-112.298280000000005,44.752400000000002,"2004",1.00
ebt,-112.257829999999998,44.771110000000000,"2004",1.00
ebt,-112.702820000000003,46.962190000000000,"2004",1.00
ebt,-112.262770000000003,44.760689999999997,"2004",1.00
ebt,-112.247380000000007,44.771140000000003,"2004",1.00
ebt,-112.241910000000004,44.774340000000002,"2004",1.00
ebt,-112.256699999999995,44.770209999999999,"2004",1.00
ebt,-112.229420000000005,44.776760000000003,"2004",1.00
ebt,-112.284940000000006,44.744450000000001,"2004",1.00
ebt,-112.275779999999997,44.749330000000000,"2004",1.00
ebt,-112.246600000000001,44.771810000000002,"2004",1.00
ebt,-112.270769999999999,44.755260000000000,"2004",1.00
ebt,-112.660769999999999,46.981699999999996,"2004",1.00
ebt,-112.259169999999997,44.767299999999999,"2004",1.00
ebt,-112.218840000000000,44.774360000000001,"2004",1.00
ebt,-112.701059999999998,46.996279999999999,"2004",1.00
ebt,-112.234790000000004,44.776859999999999,"2004",1.00
ebt,-112.125559999999993,44.842230000000001,"2004",1.00
ebt,-113.493589999999998,45.153289999999998,"2002",1.00
ebt,-110.806579999999997,46.604219999999998,"2004",1.00
ebt,-110.826629999999994,46.592309999999998,"2004",1.00
ebt,-110.835440000000006,46.584099999999999,"2004",1.00
ebt,-112.207400000000007,44.867379999999997,"2004",1.00
ebt,-113.487399999999994,45.154269999999997,"2002",1.00
ebt,-112.701560000000001,46.969479999999997,"2004",1.00
ebt,-113.008390000000006,45.344920000000002,"2004",1.00
ebt,-109.124470000000002,46.811529999999998,"2004",1.00
ebt,-111.755390000000006,46.324370000000002,"2004",1.00
ebt,-109.060320000000004,46.823459999999997,"2004",1.00
ebt,-113.364919999999998,45.128100000000003,"2002",1.00
ebt,-114.001890000000003,48.533130000000000,"2004",1.00
ebt,-111.725390000000004,46.474240000000002,"2004",1.00
ebt,-113.503150000000005,45.140459999999997,"2002",1.00
ebt,-113.992450000000005,48.564030000000002,"2004",1.00
